workload_type,workload_intensity,average_cpu_utilization
CPU-bound,Low,68.25
CPU-bound,Moderate,59.75
CPU-bound,High,15.25
IO-bound,Low,93.0
IO-bound,Moderate,84.75
IO-bound,High,66.25
Mixed,Low,75.25
Mixed,Moderate,57.0
Mixed,High,5.5
