workload_type,workload_intensity,average_cpu_utilization
CPU-bound,Low,74.5
CPU-bound,Moderate,26.0
CPU-bound,High,5.0
IO-bound,Low,94.0
IO-bound,Moderate,82.25
IO-bound,High,64.75
Mixed,Low,67.0
Mixed,Moderate,63.0
Mixed,High,13.25
