time,cpu_utilization,workload_type,workload_intensity
65,100.0,CPU-bound,Moderate
66,100.0,CPU-bound,Moderate
67,100.0,CPU-bound,Moderate
68,100.0,CPU-bound,Moderate
69,100.0,CPU-bound,Moderate
70,100.0,CPU-bound,Moderate
71,75.0,CPU-bound,Moderate
72,75.0,CPU-bound,Moderate
73,75.0,CPU-bound,Moderate
74,75.0,CPU-bound,Moderate
75,75.0,CPU-bound,Moderate
76,75.0,CPU-bound,Moderate
77,75.0,CPU-bound,Moderate
78,75.0,CPU-bound,Moderate
79,75.0,CPU-bound,Moderate
80,100.0,CPU-bound,Moderate
81,100.0,CPU-bound,Moderate
82,75.0,CPU-bound,Moderate
83,75.0,CPU-bound,Moderate
84,75.0,CPU-bound,Moderate
85,50.0,CPU-bound,Moderate
86,50.0,CPU-bound,Moderate
87,75.0,CPU-bound,Moderate
88,75.0,CPU-bound,Moderate
89,50.0,CPU-bound,Moderate
90,0.0,CPU-bound,Moderate
91,0.0,CPU-bound,Moderate
92,0.0,CPU-bound,Moderate
93,0.0,CPU-bound,Moderate
94,25.0,CPU-bound,Moderate
95,25.0,CPU-bound,Moderate
96,75.0,CPU-bound,Moderate
97,75.0,CPU-bound,Moderate
98,75.0,CPU-bound,Moderate
99,75.0,CPU-bound,Moderate
0,100.0,CPU-bound,High
1,75.0,CPU-bound,High
2,75.0,CPU-bound,High
3,75.0,CPU-bound,High
4,50.0,CPU-bound,High
5,50.0,CPU-bound,High
6,75.0,CPU-bound,High
7,25.0,CPU-bound,High
8,0.0,CPU-bound,High
9,0.0,CPU-bound,High
10,0.0,CPU-bound,High
11,0.0,CPU-bound,High
12,0.0,CPU-bound,High
13,0.0,CPU-bound,High
14,0.0,CPU-bound,High
15,0.0,CPU-bound,High
16,0.0,CPU-bound,High
17,0.0,CPU-bound,High
18,0.0,CPU-bound,High
19,0.0,CPU-bound,High
20,0.0,CPU-bound,High
21,0.0,CPU-bound,High
22,0.0,CPU-bound,High
23,0.0,CPU-bound,High
24,0.0,CPU-bound,High
25,0.0,CPU-bound,High
26,0.0,CPU-bound,High
27,0.0,CPU-bound,High
28,0.0,CPU-bound,High
29,0.0,CPU-bound,High
30,0.0,CPU-bound,High
31,0.0,CPU-bound,High
32,0.0,CPU-bound,High
33,0.0,CPU-bound,High
34,0.0,CPU-bound,High
35,0.0,CPU-bound,High
36,0.0,CPU-bound,High
37,0.0,CPU-bound,High
38,0.0,CPU-bound,High
39,0.0,CPU-bound,High
40,0.0,CPU-bound,High
41,0.0,CPU-bound,High
42,0.0,CPU-bound,High
43,0.0,CPU-bound,High
44,0.0,CPU-bound,High
45,0.0,CPU-bound,High
46,0.0,CPU-bound,High
47,0.0,CPU-bound,High
48,0.0,CPU-bound,High
49,0.0,CPU-bound,High
50,0.0,CPU-bound,High
51,0.0,CPU-bound,High
52,0.0,CPU-bound,High
53,0.0,CPU-bound,High
54,0.0,CPU-bound,High
55,0.0,CPU-bound,High
56,0.0,CPU-bound,High
57,0.0,CPU-bound,High
58,0.0,CPU-bound,High
59,0.0,CPU-bound,High
60,0.0,CPU-bound,High
61,0.0,CPU-bound,High
62,0.0,CPU-bound,High
63,0.0,CPU-bound,High
64,0.0,CPU-bound,High
65,0.0,CPU-bound,High
66,0.0,CPU-bound,High
67,0.0,CPU-bound,High
68,0.0,CPU-bound,High
69,0.0,CPU-bound,High
70,0.0,CPU-bound,High
71,0.0,CPU-bound,High
72,0.0,CPU-bound,High
73,0.0,CPU-bound,High
74,0.0,CPU-bound,High
